objectid,parentid,title,alt_title,creator,editor,date,description,subject,location,latitude,longitude,source,locus,type,format,language,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
quijote_avellaneda,,"Segundo tomo del ingenioso hidalgo Don Quixote de la Mancha, que contiene su tercera salida : y es la quinta parte de sus aventuras",,Alonso Fernández de Avellaneda,Florencio Sevilla Arroyo,1614,"Segundo tomo del Ingenioso hidalgo don Quijote de la Mancha, que contiene su tercera salida y es la quinta parte de sus aventuras",prosa; impreso,Tarragona,41.11905,1.24544,Biblioteca Nacional (España),1r-1v,,,español,,,/objects/small/fIr.jpg,/objects/small/fIr.jpg,Portada del Quijote de Avellaneda,/objects/transcripciones/quijote_avellaneda.html
"chisciotte_avellaneda
",,"Secondo tomo dell’ingegnoso hidalgo Don Chisciotte della Mancia, che contiene la sua terza uscita: ed è la quinta parte delle sue avventure",,Alonso Fernández de Avellaneda,Giovanna Calabro,1983,"Secondo tomo dell’ingegnoso hidalgo Don Chisciotte della Mancia, che contiene la sua terza uscita: ed è la quinta parte delle sue avventure",prosa; impreso,Napoli,40.8518,14.2681,Guida editore,p37,,,spagnolo,,,/objects/small/portada.jpg,/objects/small/portada.jpg,Pagina Chisciotte,/objects/transcripciones/chisciotte_avellaneda.html
f1r_quijote_avellaneda,quijote_avellaneda,,,,,,,,,,,,,Image;StillImage,image/jpeg,español,transcripciones,/objects/f1r.jpg,/objects/small/f1r.jpg,/objects/thumbs/f1r.jpg,Folio 1 recto del Quijote de Avellaneda,/objects/transcripciones/quijote_avellaneda.html
p37_chisciotte_avellaneda,chisciotte_avellaneda,,,,,,,,,,,,,Image;StillImage,image/jpeg,spagnolo,transcripciones,/objects/p37.jpg,/objects/small/p37.jpg,/objects/thumbs/p37.jpg,Pagina 37 edizione Calabro,"
/objects/transcripciones/chisciotte_avellaneda.html"
portada,,Grabado de la edición de L'ingénieux hidalgo Don Quichotte de la Manche (Hachette),,Gustave Doré,,1863,Álvaro Tarfe declara no ser Don Quijote el protagonista del de Avellaneda,,París,"48,864,716","2,349,014","<a href=""https://www.cervantesvirtual.com/portales/quijote_banco_imagenes_qbi/ficha_imagen/?id=1241"" target=""_blank"">Biblioteca virtual Cervantes</a>",,Image;StillImage,image/jpeg,,,/objects/portada.jpg,/objects/small/portada.jpg,/objects/thumbs/portada.jpg,,
